ID_REF,GSM1900227,GSM1900236,GSM1900265,GSM1900268,GSM1900271,GSM1900277,GSM1900280,GSM1900302,GSM1900313,GSM1900314,GSM1900321,GSM1900294,GSM1900315,GSM1900316,GSM1900317,GSM1900318,GSM1900319,GSM1900320,GSM1900323,GSM1900324
7892501,3.32393944,2.672625395,2.878204182,4.847538844,3.566307494,3.477374008,3.155430812,4.07434991,4.566730905,4.342200707,4.035097094,3.666689942,2.818273513,3.373865328,3.0375369,3.291464421,3.307284761,2.666092971,3.059110233,3.373047799
7892502,4.711827533,5.855246039,5.054409896,5.090661488,5.611147304,5.341688883,5.546336473,4.65976458,4.885873497,5.221382825,5.318024729,4.603182266,4.557511965,4.856980255,5.265220139,5.291629946,5.466475813,5.279109224,5.390705717,5.022661921
7892503,4.363535382,4.055164251,5.386695064,3.935336293,4.659822928,3.884365904,4.129905087,4.31096995,4.109793041,3.961344148,4.455278175,4.106568212,4.572625409,4.077981041,4.696545224,4.79593907,4.474538256,4.601386445,4.139644869,4.068023299
7892504,8.680202078,9.064725335,8.177609323,8.571384408,8.675714269,9.130835568,8.846064114,8.7242023,9.53325439,9.647384094,10.14764901,8.176767874,8.24186026,9.069134062,9.568950442,8.884283169,9.133528098,9.839548758,8.98218284,9.646725582
7892505,3.862496898,4.174665759,3.724536127,4.460517015,3.857324987,3.846015893,4.399512893,4.61185421,4.292027524,4.191653107,4.581432312,4.563846674,3.795500084,4.453985198,3.994695257,4.240210634,4.909251475,4.401886118,4.167811507,4.22457701
7892506,3.876382328,4.213291148,4.529895896,4.140663322,4.766400409,3.92053795,4.226695,4.40076363,4.191943412,4.245798427,4.695902409,4.081889402,4.177243417,4.850193516,4.085382335,5.01177306,4.560106322,3.695759605,4.069561215,4.021872418
7892507,5.181722796,4.8104723,5.944832233,5.185668982,5.339238515,4.744255308,4.670839911,5.20825505,5.31598757,5.66067144,5.742589869,5.398520471,4.503112024,5.306376317,5.47851117,5.492348566,5.13491759,5.532614062,5.539160231,5.024790511
7892508,3.572889507,5.189689153,4.748409387,4.302169499,5.103975275,5.259869092,3.737469656,5.03118931,4.773862788,5.594247141,5.993680608,4.637059742,4.563887046,5.477507294,4.486711923,5.632567168,5.434204559,5.13220396,4.727938107,5.235992141
7892509,10.87582911,10.16541768,10.3988851,10.82698744,11.21605398,10.61747363,10.64158291,10.964991,10.88502519,11.31610513,10.42264728,11.44181048,10.50860155,10.90331176,10.4604604,10.43113437,10.81788186,10.48031799,10.00760015,11.35032415
7892510,3.72232299,4.862581648,4.188965313,3.408004697,3.662782446,3.684457571,4.003167708,3.96205959,3.521117314,3.595971195,3.968942181,5.279756789,3.831919537,3.75916528,3.089344439,3.746649217,3.605173836,3.541656868,3.253638618,3.407019139
7892511,4.465002468,4.229532494,4.370243205,4.359915475,4.055157796,4.154912649,4.183349306,3.95124442,4.111932723,4.687261939,4.709032893,4.590187606,4.144181951,4.166953599,4.856223947,4.512767825,4.628362656,4.12676559,4.323858375,4.294676834
7892512,7.147712511,7.758811823,6.594645804,6.901230128,6.307471968,7.488166586,6.893890852,6.87698403,7.359383489,7.129515401,7.735369469,6.887443479,7.160867617,7.301678155,7.506188555,7.34094905,7.690529935,7.339193517,6.951960091,6.60869238
7892513,4.371338229,3.969668007,4.393035444,4.090188678,3.517724286,3.218049373,3.672362537,4.09673896,4.087484369,4.024051392,4.442115971,4.336002658,3.691309673,3.580162745,4.617788486,4.151959977,4.396699627,3.878158053,3.845571882,4.063031623
7892514,10.79923231,10.76487665,11.00246069,11.29406146,11.18373532,10.79705213,11.31839745,11.2227598,10.70355765,11.01861382,10.48128394,11.22497967,10.20293089,10.72024217,10.31245757,10.36290764,10.84117609,9.602544038,9.903465316,10.93142375
7892515,10.13718504,10.49918678,10.38289958,10.11538106,9.590438,10.35133315,10.58177214,9.8250101,9.804913849,10.01874641,10.39782619,9.470871829,9.009192191,9.627053231,10.36235776,9.305273847,10.04249101,10.5482729,10.00757962,10.1295393
7892516,4.386954976,4.371168039,4.740152556,5.416508534,4.333378406,5.47386315,4.287679834,4.38956399,4.317106321,5.364304742,5.214769406,5.723385974,3.944743601,4.453262595,4.574941318,4.973169727,5.22691956,4.38773627,3.285137182,4.907250384
7892517,5.870346375,4.904068974,6.049597654,4.372343541,4.809662361,5.421200515,4.420680893,5.29573587,4.908380801,5.081982832,5.987790945,6.014433776,5.039537419,5.411958435,5.209532197,5.129548101,5.84746305,6.101837853,5.377466463,5.452917114
7892518,3.321025385,3.904466035,3.651922123,3.181973416,4.402774632,3.232720269,3.723892233,3.58563812,4.083024128,3.621958956,3.924789674,3.668818022,3.464375737,3.240749269,3.485807571,4.09221984,3.287640807,3.620155489,3.801885938,3.345451676
7892519,5.276650226,5.59535834,5.060923802,5.21784073,5.735107674,5.235081938,5.477221932,5.58775051,5.343278174,4.801151506,5.027553733,4.880423922,5.783301822,5.160171032,5.395293288,5.160181652,5.731775292,4.810533882,5.361546534,5.479882498
